id,date,if_working,in_hours
1,2021-01-01,8.0,8
2,2021-01-02,8.0,8
3,2021-01-03,8.0,8
4,2021-01-04,8.0,8
5,2021-01-05,8.0,8
6,2021-01-06,8.0,8
7,2021-01-07,8.0,8
8,2021-01-08,8.0,8
9,2021-01-09,8.0,8
10,2021-01-10,8.0,8
11,2021-01-11,8.0,8
12,2021-01-12,8.0,8
13,2021-01-13,8.0,8
14,2021-01-14,8.0,8
15,2021-01-15,8.0,8
16,2021-01-16,8.0,8
17,2021-01-17,8.0,8
18,2021-01-18,8.0,8
19,2021-01-19,8.0,8
20,2021-01-20,8.0,8
21,2021-01-21,8.0,8
22,2021-01-22,8.0,8
23,2021-01-23,8.0,8
24,2021-01-24,8.0,8
25,2021-01-25,8.0,8
26,2021-01-26,8.0,8
27,2021-01-27,8.0,8
28,2021-01-28,8.0,8
29,2021-01-29,8.0,8
30,2021-01-30,8.0,8
31,2021-01-31,8.0,8
32,2021-02-01,8.0,8
33,2021-02-02,8.0,8
34,2021-02-03,8.0,8
35,2021-02-04,8.0,8
36,2021-02-05,8.0,8
37,2021-02-06,8.0,8
38,2021-02-07,8.0,8
39,2021-02-08,8.0,8
40,2021-02-09,8.0,8
41,2021-02-10,8.0,8
42,2021-02-11,8.0,8
43,2021-02-12,8.0,8
44,2021-02-13,8.0,8
45,2021-02-14,8.0,8
46,2021-02-15,8.0,8
47,2021-02-16,8.0,8
48,2021-02-17,8.0,8
49,2021-02-18,8.0,8
50,2021-02-19,8.0,8
51,2021-02-20,8.0,8
52,2021-02-21,8.0,8
53,2021-02-22,8.0,8
54,2021-02-23,8.0,8
55,2021-02-24,8.0,8
56,2021-02-25,8.0,8
57,2021-02-26,8.0,8
58,2021-02-27,8.0,8
59,2021-02-28,8.0,8
60,2021-03-01,8.0,8
61,2021-03-02,8.0,8
62,2021-03-03,8.0,8
63,2021-03-04,8.0,8
64,2021-03-05,8.0,8
65,2021-03-06,8.0,8
66,2021-03-07,8.0,8
67,2021-03-08,8.0,8
68,2021-03-09,8.0,8
69,2021-03-10,8.0,8
70,2021-03-11,8.0,8
71,2021-03-12,8.0,8
72,2021-03-13,8.0,8
73,2021-03-14,8.0,8
74,2021-03-15,8.0,8
75,2021-03-16,8.0,8
76,2021-03-17,8.0,8
77,2021-03-18,8.0,8
78,2021-03-19,8.0,8
79,2021-03-20,8.0,8
80,2021-03-21,8.0,8
81,2021-03-22,8.0,8
82,2021-03-23,8.0,8
83,2021-03-24,8.0,8
84,2021-03-25,8.0,8
85,2021-03-26,8.0,8
86,2021-03-27,8.0,8
87,2021-03-28,8.0,8
88,2021-03-29,8.0,8
89,2021-03-30,8.0,8
90,2021-03-31,8.0,8
91,2021-04-01,8.0,8
92,2021-04-02,8.0,8
93,2021-04-03,8.0,8
94,2021-04-04,8.0,8
95,2021-04-05,8.0,8
96,2021-04-06,8.0,8
97,2021-04-07,8.0,8
98,2021-04-08,8.0,8
99,2021-04-09,8.0,8
100,2021-04-10,8.0,8
101,2021-04-11,8.0,8
102,2021-04-12,8.0,8
103,2021-04-13,8.0,8
104,2021-04-14,8.0,8
105,2021-04-15,8.0,8
106,2021-04-16,8.0,8
107,2021-04-17,8.0,8
108,2021-04-18,8.0,8
109,2021-04-19,8.0,8
110,2021-04-20,8.0,8
111,2021-04-21,8.0,8
112,2021-04-22,8.0,8
113,2021-04-23,8.0,8
114,2021-04-24,8.0,8
115,2021-04-25,8.0,8
116,2021-04-26,8.0,8
117,2021-04-27,8.0,8
118,2021-04-28,8.0,8
119,2021-04-29,8.0,8
120,2021-04-30,8.0,8
121,2021-05-01,8.0,8
122,2021-05-02,8.0,8
123,2021-05-03,8.0,8
124,2021-05-04,8.0,8
125,2021-05-05,8.0,8
126,2021-05-06,8.0,8
127,2021-05-07,8.0,8
128,2021-05-08,8.0,8
129,2021-05-09,8.0,8
130,2021-05-10,8.0,8
131,2021-05-11,8.0,8
132,2021-05-12,8.0,8
133,2021-05-13,8.0,8
134,2021-05-14,8.0,8
135,2021-05-15,8.0,8
136,2021-05-16,8.0,8
137,2021-05-17,8.0,8
138,2021-05-18,8.0,8
139,2021-05-19,8.0,8
140,2021-05-20,8.0,8
141,2021-05-21,8.0,8
142,2021-05-22,8.0,8
143,2021-05-23,8.0,8
144,2021-05-24,8.0,8
145,2021-05-25,8.0,8
146,2021-05-26,8.0,8
147,2021-05-27,8.0,8
148,2021-05-28,8.0,8
149,2021-05-29,8.0,8
150,2021-05-30,8.0,8
151,2021-05-31,8.0,8
152,2021-06-01,8.0,8
153,2021-06-02,8.0,8
154,2021-06-03,8.0,8
155,2021-06-04,8.0,8
156,2021-06-05,8.0,8
157,2021-06-06,8.0,8
158,2021-06-07,8.0,8
159,2021-06-08,8.0,8
160,2021-06-09,8.0,8
161,2021-06-10,8.0,8
162,2021-06-11,8.0,8
163,2021-06-12,8.0,8
164,2021-06-13,8.0,8
165,2021-06-14,8.0,8
166,2021-06-15,8.0,8
167,2021-06-16,8.0,8
168,2021-06-17,8.0,8
169,2021-06-18,8.0,8
170,2021-06-19,8.0,8
171,2021-06-20,8.0,8
172,2021-06-21,8.0,8
173,2021-06-22,8.0,8
174,2021-06-23,8.0,8
175,2021-06-24,8.0,8
176,2021-06-25,8.0,8
177,2021-06-26,8.0,8
178,2021-06-27,8.0,8
179,2021-06-28,8.0,8
180,2021-06-29,8.0,8
181,2021-06-30,8.0,8
182,2021-07-01,8.0,8
183,2021-07-02,8.0,8
184,2021-07-03,8.0,8
185,2021-07-04,8.0,8
186,2021-07-05,8.0,8
187,2021-07-06,8.0,8
188,2021-07-07,8.0,8
189,2021-07-08,8.0,8
190,2021-07-09,8.0,8
191,2021-07-10,8.0,8
192,2021-07-11,8.0,8
193,2021-07-12,8.0,8
194,2021-07-13,8.0,8
195,2021-07-14,8.0,8
196,2021-07-15,8.0,8
197,2021-07-16,8.0,8
198,2021-07-17,8.0,8
199,2021-07-18,8.0,8
200,2021-07-19,8.0,8
201,2021-07-20,8.0,8
202,2021-07-21,8.0,8
203,2021-07-22,8.0,8
204,2021-07-23,8.0,8
205,2021-07-24,8.0,8
206,2021-07-25,8.0,8
207,2021-07-26,8.0,8
208,2021-07-27,8.0,8
209,2021-07-28,8.0,8
210,2021-07-29,8.0,8
211,2021-07-30,8.0,8
212,2021-07-31,8.0,8
213,2021-08-01,8.0,8
214,2021-08-02,8.0,8
215,2021-08-03,8.0,8
216,2021-08-04,8.0,8
217,2021-08-05,8.0,8
218,2021-08-06,8.0,8
219,2021-08-07,8.0,8
220,2021-08-08,8.0,8
221,2021-08-09,8.0,8
222,2021-08-10,8.0,8
223,2021-08-11,8.0,8
224,2021-08-12,8.0,8
225,2021-08-13,8.0,8
226,2021-08-14,8.0,8
227,2021-08-15,8.0,8
228,2021-08-16,8.0,8
229,2021-08-17,8.0,8
230,2021-08-18,8.0,8
231,2021-08-19,8.0,8
232,2021-08-20,8.0,8
233,2021-08-21,8.0,8
234,2021-08-22,8.0,8
235,2021-08-23,8.0,8
236,2021-08-24,8.0,8
237,2021-08-25,8.0,8
238,2021-08-26,8.0,8
239,2021-08-27,8.0,8
240,2021-08-28,8.0,8
241,2021-08-29,8.0,8
242,2021-08-30,8.0,8
243,2021-08-31,8.0,8
244,2021-09-01,8.0,8
245,2021-09-02,8.0,8
246,2021-09-03,8.0,8
247,2021-09-04,8.0,8
248,2021-09-05,8.0,8
249,2021-09-06,8.0,8
250,2021-09-07,8.0,8
251,2021-09-08,8.0,8
252,2021-09-09,8.0,8
253,2021-09-10,8.0,8
254,2021-09-11,8.0,8
255,2021-09-12,8.0,8
256,2021-09-13,8.0,8
257,2021-09-14,8.0,8
258,2021-09-15,8.0,8
259,2021-09-16,8.0,8
260,2021-09-17,8.0,8
261,2021-09-18,8.0,8
262,2021-09-19,8.0,8
263,2021-09-20,8.0,8
264,2021-09-21,8.0,8
265,2021-09-22,8.0,8
266,2021-09-23,8.0,8
267,2021-09-24,8.0,8
268,2021-09-25,8.0,8
269,2021-09-26,8.0,8
270,2021-09-27,8.0,8
271,2021-09-28,8.0,8
272,2021-09-29,8.0,8
273,2021-09-30,8.0,8
274,2021-10-01,8.0,8
275,2021-10-02,8.0,8
276,2021-10-03,8.0,8
277,2021-10-04,8.0,8
278,2021-10-05,8.0,8
279,2021-10-06,8.0,8
280,2021-10-07,8.0,8
281,2021-10-08,8.0,8
282,2021-10-09,8.0,8
283,2021-10-10,8.0,8
284,2021-10-11,8.0,8
285,2021-10-12,8.0,8
286,2021-10-13,8.0,8
287,2021-10-14,8.0,8
288,2021-10-15,8.0,8
289,2021-10-16,8.0,8
290,2021-10-17,8.0,8
291,2021-10-18,8.0,8
292,2021-10-19,8.0,8
293,2021-10-20,8.0,8
294,2021-10-21,8.0,8
295,2021-10-22,8.0,8
296,2021-10-23,8.0,8
297,2021-10-24,8.0,8
298,2021-10-25,8.0,8
299,2021-10-26,8.0,8
300,2021-10-27,8.0,8
301,2021-10-28,8.0,8
302,2021-10-29,8.0,8
303,2021-10-30,8.0,8
304,2021-10-31,8.0,8
305,2021-11-01,8.0,8
306,2021-11-02,8.0,8
307,2021-11-03,8.0,8
308,2021-11-04,8.0,8
309,2021-11-05,8.0,8
310,2021-11-06,8.0,8
311,2021-11-07,8.0,8
312,2021-11-08,8.0,8
313,2021-11-09,8.0,8
314,2021-11-10,8.0,8
315,2021-11-11,8.0,8
316,2021-11-12,8.0,8
317,2021-11-13,8.0,8
318,2021-11-14,8.0,8
319,2021-11-15,8.0,8
320,2021-11-16,8.0,8
321,2021-11-17,8.0,8
322,2021-11-18,8.0,8
323,2021-11-19,8.0,8
324,2021-11-20,8.0,8
325,2021-11-21,8.0,8
326,2021-11-22,8.0,8
327,2021-11-23,8.0,8
328,2021-11-24,8.0,8
329,2021-11-25,8.0,8
330,2021-11-26,8.0,8
331,2021-11-27,8.0,8
332,2021-11-28,8.0,8
333,2021-11-29,8.0,8
334,2021-11-30,8.0,8
335,2021-12-01,8.0,8
336,2021-12-02,8.0,8
337,2021-12-03,8.0,8
338,2021-12-04,8.0,8
339,2021-12-05,8.0,8
340,2021-12-06,8.0,8
341,2021-12-07,8.0,8
342,2021-12-08,8.0,8
343,2021-12-09,8.0,8
344,2021-12-10,8.0,8
345,2021-12-11,8.0,8
346,2021-12-12,8.0,8
347,2021-12-13,8.0,8
348,2021-12-14,8.0,8
349,2021-12-15,8.0,8
350,2021-12-16,8.0,8
351,2021-12-17,8.0,8
352,2021-12-18,8.0,8
353,2021-12-19,8.0,8
354,2021-12-20,8.0,8
355,2021-12-21,8.0,8
356,2021-12-22,8.0,8
357,2021-12-23,8.0,8
358,2021-12-24,8.0,8
359,2021-12-25,8.0,8
360,2021-12-26,8.0,8
361,2021-12-27,8.0,8
362,2021-12-28,8.0,8
363,2021-12-29,8.0,8
364,2021-12-30,8.0,8
365,2021-12-31,8.0,8
